Operation not permitted   						== 1
No such file or directory 						== 2
No such process      							== 3
Interrupted system call   						== 4
Input/output error        						== 5
Device not configured    				 		== 6
Argument list too long    						== 7
Exec format error      							== 8
Bad file descriptor       						== 9
No child processes        						== 10
Resource deadlock avoided 						== 11
Cannot allocate memory    						== 12
Permission denied         						== 13
Bad address 			  						== 14
Block device required     						== 15
Resource busy			  						== 16
File exists 			  						== 17
Cross-device link         						== 18
Operation not supported by device 				== 19
Not a directory           						== 20
Is a directory 			  						== 21
Invalid argument 		 						== 22
Too many open files in system 					== 23
Too many open files       						== 24
Inappropriate ioctl for device 					== 25
Text file busy            						== 26
File too large  		  						== 27
No space left on device   						== 28
Illegal seek 			  						== 29
Read-only file system    					    == 30
Too many links 			  						== 31
Broken pipe 			  						== 32
Numerical argument out of domain 				== 33
Result too large     	  						== 34
Resource temporarily unavailable				== 35
Operation now in progress 						== 36
Operation already in progress 					== 37
Socket operation on non-socket 					== 38
Destination address required 					== 39
Message too long          						== 40
Protocol wrong type for socket 					== 41
Protocol not available    						== 42
Protocol not supported   						== 43
Socket type not supported 						== 44
Operation not supported   						== 45
Protocol family not supported 					== 46
Address family not supported by protocol family == 47
Address already in use    						== 48
Can't assign requested address 					== 49
Network is down           						== 50
Network is unreachable    						== 51
Network dropped connection on reset 			== 52
Software caused connection abort 				== 53
Connection reset by peer  						== 54
No buffer space available 						== 55
Socket is already connected 					== 56
Socket is not connected   						== 57
Can't send after socket shutdown 				== 58
Too many references: can't splice 				== 59
Operation timed out       						== 60
Connection refused		  						== 61
Too many levels of symbolic links 				== 62
File name too long 		  						== 63
Host is down 		  	  						== 64
No route to host 		  						== 65
Directory not empty		  						== 66
Too many processes    	  						== 67
Too many users 			  						== 68
Disc quota exceeded       						== 69
Stale NFS file handle 	  						== 70
Too many levels of remote in path 				== 71
RPC struct is bad         						== 72
RPC version wrong         						== 73
RPC prog. not avail		  						== 74
Program version wrong     						== 75
Bad procedure for program 						== 76
No locks available        						== 77
Function not implemented  						== 78
Inappropriate file type or format 				== 79
Authentication error      						== 80
Need authenticator 		  						== 81
Device power is off       						== 82
Device error 			  						== 83
Value too large to be stored in data type   	== 84
Bad executable (or shared library) 				== 85
Bad CPU type in executable 						== 86
Shared library version mismatch 				== 87
Malformed Mach-o file     						== 88
Operation canceled        						== 89
Identifier removed        						== 90
No message of desired type 						== 91
Illegal byte sequence     						== 92
Attribute not found       						== 93
Bad message 			  						== 94
EMULTIHOP (Reserved)      						== 95
No message available on STREAM 					== 96
ENOLINK (Reserved) 		  						== 97
No STREAM resources 	  						== 98
Not a STREAM			  						== 99
Protocol error			 						== 100
STREAM ioctl timeout     						== 101
Operation not supported on socket 				== 102
Policy not found 		 						== 103
State not recoverable    						== 104
Previous owner died      						== 105
Interface output queue is full 					== 106
